job_id,company_id,company_name,title,location,work_type,experience_level,posting_date,views,applies,workplace_model,Role_Category,Annualized_Salary
3245063922,224935.0,Saxon AI,Data Architect,"San Francisco, CA",CONTRACT,,1713536822000.0,7.0,1.0,On-site / Hybrid,Data Engineering,
3540371917,3252.0,KeyBank,Enterprise Data & Analytics Infrastructure Manager,"Cleveland, OH",FULL_TIME,,1713451518000.0,30.0,1.0,On-site / Hybrid,Data Analytics,
3742692445,81941852.0,ZenithMinds Inc,Sr Data Engineer with Kafka,"Austin, TX",FULL_TIME,,1713208673000.0,39.0,10.0,On-site / Hybrid,Data Engineering,
3797449314,91080439.0,"Subaru Research and Development, Inc",Cloud Platform/ Big Data Engineer,"Michigan, United States",FULL_TIME,Entry level,1713553054000.0,7.0,1.0,On-site / Hybrid,Data Engineering,
3800989742,71373471.0,SilverSpace Technologies Inc,Data Engineer/ETL,"Hartford, CT",CONTRACT,,1713533813000.0,39.0,12.0,On-site / Hybrid,Data Engineering,
3813645405,82537206.0,Tenazx Inc,Data Analyst,"Queens, NY",CONTRACT,,1713465279000.0,4.0,,On-site / Hybrid,Data Analytics,
3841003722,,,Senior Data Engineer/Analyst - Full Time,"California, United States",FULL_TIME,,1709736254000.0,38.0,18.0,On-site / Hybrid,Data Analytics,216320.0
3848960304,82669556.0,Symbolica AI,Senior Machine Learning Research Engineer,San Francisco Bay Area,FULL_TIME,,1712669599000.0,12.0,,On-site / Hybrid,Data Science,250000.0
3871631334,490432.0,NLB Services,Machine Learning Engineer,"Dallas, TX",FULL_TIME,,1712669525000.0,22.0,8.0,On-site / Hybrid,Data Science,
3872787865,3342169.0,Radiant Systems Inc,eCommerce Data Analyst,United States,CONTRACT,,1713277624000.0,102.0,,On-site / Hybrid,Data Analytics,
3884426975,10801655.0,Publicis Sapient,Azure Data Engineer (Full time),"Arlington, VA",FULL_TIME,Mid-Senior level,1712346379000.0,40.0,11.0,On-site / Hybrid,Data Engineering,120000.0
3884430616,25461.0,EPITEC,Data Management Analyst,United States,CONTRACT,Entry level,1712346572000.0,41.0,13.0,On-site / Hybrid,Data Analytics,87360.0
3884430958,77117.0,Quigley-Simpson,"Senior Analyst, Data & Analytics",Los Angeles Metropolitan Area,FULL_TIME,Mid-Senior level,1712347901000.0,40.0,13.0,On-site / Hybrid,Data Analytics,91500.0
3884431580,2329852.0,"Econtenti, Inc",Azure Data Engineer,"Seattle, WA",FULL_TIME,,1712346690000.0,16.0,5.0,On-site / Hybrid,Data Engineering,
3884431726,11115.0,Infinite Computer Solutions,Junior ETL QA Test Engineer,United States,FULL_TIME,Mid-Senior level,1712347089000.0,189.0,57.0,On-site / Hybrid,Data Engineering,
3884432522,74604183.0,MCubeSoft,Wealth Management Business Data Analyst,"Charlotte, NC",FULL_TIME,,1712346408000.0,8.0,,On-site / Hybrid,Data Analytics,
3884432812,79482021.0,Ehub Global Inc,Generative AI Engineer,"Jersey City, NJ",CONTRACT,Mid-Senior level,1712348434000.0,33.0,5.0,On-site / Hybrid,Data Science,
3884434664,35679573.0,TechWish,GCP Data Engineer (Only W2),"Sterling, VA",CONTRACT,Mid-Senior level,1712347999000.0,78.0,33.0,On-site / Hybrid,Data Engineering,
3884434978,92583550.0,Outlier,"Senior Data Analyst - AI Training (Remote, Contract)",United States,CONTRACT,Mid-Senior level,1712349342000.0,258.0,61.0,Remote,Data Analytics,114400.0
